82,11,6,1,0,2,3,2,2,0,3,0,0,0,1,3,0,3,3,0,2,3,1,3,3,0,3,2,1,1,0,3,0,0,3,1,3,2,1,1,2,1,1,2,2,0,3,3,0,2,3,1,1,0,0,1,1,1,3,2,3,2,0,2,1,2,1,1,1,0,2,1,2,3,1,3,1,0,1,1,0,2,2,0,1,2,3,2,3,1,1,0,2,3,0,3,3,0,1,1,0,2,2,0,3,3,3,1,0,2,3,1,3,0,0,2,2,1,0,2,0,1,2,3,2,2,3,3,0,2,0,a245df70afbe32b497f76e4843dfcaf2502fc04e2f95bd617f0f4d6cd876dc5e,1
20,1,10,1,1,1,3,0,3,1,3,0,2,0,1,3,1,3,3,0,2,2,1,3,2,0,3,2,1,2,0,3,0,0,1,0,3,0,1,0,0,2,1,2,3,0,3,3,0,2,3,2,1,0,1,0,2,2,2,3,3,1,1,0,2,0,0,2,3,0,1,0,2,3,1,3,2,0,1,2,0,1,1,2,0,2,2,2,3,0,2,1,3,3,0,3,1,1,3,0,1,2,0,0,3,3,3,0,2,0,1,2,2,2,1,2,2,1,2,2,1,0,1,3,3,3,3,3,1,1,1,75a3ea6dc3911c42b754e872409c43f979289651bd7578b1478ca46016d98d7f,1
114,9,7,0,0,0,3,1,3,0,1,0,2,1,0,0,2,3,1,3,0,3,1,3,3,1,2,2,3,1,0,2,1,0,2,2,3,3,2,2,0,1,0,2,0,0,3,2,0,1,3,0,3,0,0,2,2,1,2,1,3,1,0,1,1,0,2,3,1,2,0,0,3,2,3,2,0,0,3,1,0,2,1,2,1,0,3,3,2,3,1,2,3,3,0,1,3,0,1,0,1,2,2,0,2,3,2,3,0,3,0,1,2,1,1,1,0,1,3,2,2,2,2,1,3,3,3,1,2,3,1,10f319a7e7cb757d16b85173de09bbad42e14b75e85514159fb2017188a0f932,1
66,14,8,3,0,1,3,0,3,0,2,1,2,0,2,1,2,3,3,0,3,3,2,3,3,0,0,3,3,0,2,3,0,1,2,0,3,2,2,2,0,1,0,3,2,0,3,1,0,1,3,1,3,1,0,2,1,2,1,2,3,1,2,0,2,0,2,2,3,0,1,1,0,0,2,3,2,1,2,0,1,1,2,1,0,1,2,3,1,0,2,1,3,3,1,3,3,2,1,0,2,0,0,3,0,3,2,0,1,1,1,0,3,0,1,2,1,1,2,1,1,1,1,3,3,3,3,2,1,0,0,ece38094b40f62be2b3c9fec43739c055caac7d5e476dbe860315b5783622667,1
227,2,12,0,0,0,3,3,3,2,3,2,1,0,0,2,0,3,1,3,2,1,3,3,0,1,0,3,1,1,3,3,0,3,0,0,3,0,2,0,0,2,1,1,3,2,2,2,0,1,2,0,0,0,2,2,1,3,2,3,2,3,1,3,1,1,1,3,2,2,2,1,1,0,2,2,3,0,1,0,2,0,2,3,2,2,3,0,3,1,1,2,3,3,0,2,0,1,2,2,0,3,0,2,3,3,1,1,1,2,1,1,2,1,1,2,2,0,0,1,1,3,0,0,3,1,0,3,1,3,1,76e782ff37854100017cc56a1007e097314ea6dab8ebb66586328207b5d4d8db,1
211,13,6,1,2,1,3,0,2,2,2,0,3,0,1,2,0,3,3,2,2,3,2,3,1,1,1,1,1,2,2,2,1,2,1,0,3,3,0,1,0,1,1,1,3,0,3,1,0,0,3,3,1,1,1,1,1,0,3,3,1,0,3,0,0,1,1,2,2,0,1,0,3,2,2,2,2,0,1,2,0,3,2,0,0,1,2,3,3,0,3,1,2,3,0,3,1,0,1,0,0,2,0,0,1,2,3,3,1,2,2,0,3,0,0,2,3,2,3,2,1,2,0,3,2,3,3,3,2,3,0,c5274642a2dd23fb512efe74dddf93b5d4f858d528b5a9430a86b42558ab27c7,1
194,11,5,0,1,1,3,0,3,2,2,0,3,2,2,2,0,3,3,3,0,3,0,3,3,3,3,1,3,0,1,3,1,0,0,1,3,1,2,3,0,1,1,3,2,0,3,0,1,2,1,1,3,0,1,1,2,0,3,1,1,0,1,0,2,1,2,3,2,0,2,0,0,2,3,2,0,1,1,2,0,1,2,2,0,1,2,3,2,0,1,2,3,3,0,3,2,1,1,0,1,2,2,1,0,3,2,2,1,0,0,2,2,1,0,1,3,0,1,3,0,2,2,3,3,3,3,2,1,1,0,6cb41b2b1d07c415ab7f6fde4a009023a136550a52cc807eae7f0afe34f88553,1
145,10,3,2,0,3,3,1,3,2,3,1,2,0,1,3,3,3,2,3,3,1,2,3,1,1,0,0,2,3,1,2,1,0,3,0,3,1,0,2,0,0,3,2,3,0,3,1,0,0,3,0,2,0,1,1,0,0,3,2,2,1,0,2,3,2,2,2,0,0,1,0,1,1,3,3,0,0,1,1,0,1,3,1,0,0,3,3,2,0,2,0,1,3,0,3,3,1,1,1,1,0,0,0,1,3,1,0,1,2,2,1,2,2,0,3,0,0,2,3,2,0,2,3,2,3,2,2,2,2,1,2ffccef6626948b5d678316456ce4da5ea6fc1d72f70f0e1bb5a6cd7ef22c1e3,1
243,1,11,0,2,2,2,1,2,2,2,0,1,1,2,3,1,1,3,1,3,1,2,3,0,0,0,2,1,3,1,2,1,0,2,1,3,3,2,1,0,3,3,1,3,0,1,3,0,3,0,0,0,0,0,3,1,1,1,3,2,1,1,0,1,1,2,1,3,0,2,0,1,3,2,2,3,0,1,0,0,3,1,2,2,2,2,1,3,2,3,0,3,2,0,3,0,0,3,0,1,3,0,1,1,2,3,0,2,0,1,2,2,2,2,2,2,0,3,0,2,0,1,3,3,3,3,3,3,1,0,358974a49ecf5a88a68b8801c80ad5892b81f1228b6d56febdb57ee8f8636c7f,1
242,11,7,0,0,1,3,2,3,1,3,1,0,0,0,2,1,3,1,2,1,1,3,3,0,2,0,3,0,2,2,3,2,3,1,0,3,0,0,0,0,2,0,0,3,3,2,3,0,0,3,0,0,0,1,0,1,1,3,3,1,3,2,3,1,3,0,1,0,3,3,2,2,0,2,3,1,1,1,2,2,1,3,1,1,2,3,1,3,1,2,2,1,3,0,2,0,2,2,2,1,2,1,0,2,3,3,2,1,0,2,2,3,2,1,1,3,1,0,3,2,2,2,0,3,0,1,2,0,1,0,2f6d88d8425a797f10e72e659f4d07cd26bbddceece2a1cdaa2f38de9544a702,1
226,13,7,0,1,0,3,2,1,2,3,1,0,1,0,0,0,3,2,1,2,0,3,3,0,1,0,3,1,2,3,3,0,3,1,0,3,0,0,1,1,1,2,1,2,2,2,2,0,1,2,0,0,0,2,1,1,2,2,3,2,3,3,3,1,3,1,2,0,3,3,2,2,1,1,3,1,1,1,2,2,0,3,0,2,2,3,1,3,0,0,0,2,3,0,3,0,1,1,2,0,2,0,0,3,3,3,2,0,1,3,2,2,3,0,2,2,1,1,3,1,3,2,1,3,1,1,1,0,2,0,1ff2aecc5680b74f2426891a771935f033e703d4bb82aea5e71f2a0431c7d253,1
